Loading environment football failed: No module named 'gfootball'
-- 7.185823394916952
         24794382 function calls (23595294 primitive calls) in 7.519 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8060    0.004    0.000    0.043    0.000 _utils.py:21(__getitem__)
     2874    0.002    0.000    0.043    0.000 re.py:271(_compile)
      826    0.000    0.000    0.041    0.000 {built-in method builtins.next}
     8060    0.004    0.000    0.040    0.000 _collections_abc.py:742(__iter__)
    54816    0.033    0.000    0.040    0.000 parse.py:109(_coerce_args)
     9672    0.013    0.000    0.040    0.000 parse.py:361(urlparse)
    13443    0.005    0.000    0.040    0.000 validators.py:355(is_type)
        1    0.000    0.000    0.039    0.039 pyopenssl.py:43(<module>)
      111    0.001    0.000    0.038    0.000 sre_compile.py:759(compile)
      145    0.000    0.000    0.038    0.000 re.py:232(compile)
1251/1241    0.017    0.000    0.037    0.000 {built-in method builtins.__build_class__}
     5421    0.003    0.000    0.036    0.000 helpers.py:386(cell)
   355155    0.036    0.000    0.036    0.000 {built-in method builtins.divmod}
    20154    0.018    0.000    0.035    0.000 parse.py:409(urlsplit)
    13443    0.007    0.000    0.035    0.000 _types.py:66(is_type)
     3192    0.006    0.000    0.034    0.000 helpers.py:702(_add_ship)
 1680/426    0.006    0.000    0.034    0.000 copy.py:268(_reconstruct)
   177572    0.033    0.000    0.033    0.000 {built-in method builtins.min}
       12    0.000    0.000    0.033    0.003 __init__.py:5(<module>)
   362760    0.033    0.000    0.033    0.000 helpers.py:597(configuration)
      479    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      479    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    15318    0.015    0.000    0.030    0.000 parse.py:477(urlunsplit)
        1    0.000    0.000    0.030    0.030 __init__.py:7(<module>)
2795/2023    0.004    0.000    0.030    0.000 copy.py:236(_deepcopy_dict)
      921    0.007    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     6421    0.002    0.000    0.026    0.000 {built-in method builtins.any}
      806    0.001    0.000    0.026    0.000 exceptions.py:328(best_match)
    11861    0.004    0.000    0.025    0.000 _validators.py:272(<genexpr>)
  458/457    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      111    0.000    0.000    0.023    0.000 sre_parse.py:919(parse)
1647/1623    0.004    0.000    0.023    0.000 _validators.py:41(additionalProperties)
    13443    0.005    0.000    0.022    0.000 _pmap.py:70(__getitem__)
  437/111    0.001    0.000    0.022    0.000 sre_parse.py:417(_parse_sub)
     9676    0.002    0.000    0.022    0.000 parse.py:320(geturl)
  555/120    0.008    0.000    0.022    0.000 sre_parse.py:475(_parse)
     1612    0.002    0.000    0.021    0.000 validators.py:768(resolve_from_url)
        2    0.000    0.000    0.020    0.010 exceptions.py:1(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:6(<module>)
    20254    0.008    0.000    0.019    0.000 utils.py:28(get)
12545/12098    0.005    0.000    0.019    0.000 {built-in method builtins.hasattr}
     4836    0.004    0.000    0.018    0.000 parse.py:466(urlunparse)
        1    0.000    0.000    0.018    0.018 utils.py:9(<module>)
