2.305076868040487
         5656548 function calls (5654242 primitive calls) in 2.465 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      217    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1057    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        5    0.000    0.000    0.001    0.000 enum.py:135(__new__)
       39    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
     1057    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      166    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
       53    0.000    0.000    0.001    0.000 core.py:892(__init__)
      170    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      479    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      479    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      158    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
        1    0.000    0.000    0.159    0.159 __init__.py:106(<module>)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.012    0.012 shutil.py:5(<module>)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      842    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      292    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.000    0.000    0.002    0.000 getlimits.py:37(__init__)
      201    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      396    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
       17    0.000    0.000    0.011    0.001 sre_compile.py:759(compile)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       63    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
    34/17    0.000    0.000    0.005    0.000 sre_parse.py:417(_parse_sub)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
    227/1    0.000    0.000    0.160    0.160 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      269    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.004    0.004 numerictypes.py:81(<module>)
       57    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.019    0.019 multiarray.py:7(<module>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:10(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
       17    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
       51    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 pickle.py:372(_Pickler)
       17    0.000    0.000    0.006    0.000 sre_parse.py:919(parse)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      420    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
       87    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      175    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      405    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 case.py:278(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       11    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      335    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
      158    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       24    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      206    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.010    0.010 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _internal.py:899(recursive)
      180    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       62    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.002    0.002 random.py:38(<module>)
       17    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:836(__and__)
      266    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
     22/9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      111    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      144    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
    21/19    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.016    0.016 npyio.py:1(<module>)
       80    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
       31    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6572(getdoc)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
       44    0.000    0.000    0.001    0.000 core.py:146(get_object_signature)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      102    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       72    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       53    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
        1    0.000    0.000    0.010    0.010 _internal.py:6(<module>)
       72    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       17    0.000    0.000    0.005    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.011    0.011 index_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
      102    0.000    0.000    0.001    0.000 re.py:170(match)
        2    0.000    0.000    0.025    0.012 __init__.py:45(<module>)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.001    0.000 enum.py:284(__call__)
       11    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
      113    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        5    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
      314    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        1    0.000    0.000    0.002    0.002 __init__.py:86(<module>)
       26    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.006    0.006 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
        1    0.000    0.000    0.010    0.010 case.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        3    0.000    0.000    0.001    0.000 enum.py:389(_create_)
       36    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      230    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fd4656a7488}
       17    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      363    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
       32    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
    16/14    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       63    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        3    0.000    0.000    0.000    0.000 enum.py:654(<listcomp>)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       17    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.003    0.003 financial.py:12(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1021(_Unpickler)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       77    0.000    0.000    0.000    0.000 overrides.py:104(decorator)
        8    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
